LevelNo,JpTitle,EnTitle
Blue,まいごのキオピオをさがして,Little Toad Lost
Red,重たい石材 よっこらしょ,Heavy Stone Heave-Ho
Rescue,キノピオとランデブー,Toad Rescue
Eclipse,キノピオ全員、連れもどせ,Operation: Toadal Eclipse
Meowser,決戦！ ネコクッパ,Meoswer Showdown!
Dog1,つるつるにげ切れ ブランコクレーン,Swinging Claw Escape
Dog2,こうらでにげて！ せまる毒ぬま,Swamp Escape by Shell!
Dog3,ワンワンこわい,Chain Chomp Chiller
Eraser1,ふりかかるバブルを けちらせ！,Molten Rain
Eraser2,トゲゾーバスターズ,Spiny Busters
Eraser3,たおせ！ プンプン1体,Target: A Single Pom Pom
Part1,ビックリブロックがつくる道,House of ! Blocks
Part2,お先 真っ暗！ くらやみの地下道,"Darkness Ahead, Darkness Below"
Part3,ドッスンタワーの先に,High atop Thowmp Tower
Frog1,生けるめいきゅう プクプクメイズ,Cheep Cheep Maze
Frog2,息つぎ きんし！,Hold Your Breath
Frog3,てんやわんやの海の中,Sea of Sorrow
Purple1,POWブロックで目を覚ませ！,POW Block Wake-Up Call
Purple2,ふんでたおして のびのびパックン,Piranha Creeper Squash
Purple3,かぶれトゲゾー こわせブロック,Spiny Shell Smashers
Yellow1,地下の岩場で 石材さがし,Buried Stones
Yellow2,ネコマリオの石材運び,Cat-Scratch Stone
Yellow3,川底の石材運び,Stone from the River
Yamamura1,地に足をつけない飛行船,Airship Flight
Yamamura2,無人飛行船でコイン集め,Coin Collecting on an Unmanned Airship
Yamamura3,ヤセタクテ 夏,Summer Shootout
Peach1,レッツゴー！ ビルダーマリオ,"Let's Go, Builder Mario!"
Peach2,新人キノピオ 大行進,March of the Rookie Toads
Peach3,スーパーマリオブラザーズ W1-1？,Super Mario Bros. W1-1?
